authors,title
"[Mingming Liu, Bing Liu 0016, Chen Zhang, Weidong Wang, Wei Sun]",Semi-supervised low rank kernel learning algorithm via extreme learning machine.
Claudia Perlich,Learning Curves in Machine Learning.
Aparna Nurani Venkitasubramanian,Weakly supervised machine learning algorithms for object recognition in-the-wild and entity linking in videos ; Zwak toezicht machine learning algoritmen voor objectherkenning in-the-wild en entiteit koppelen in video&apos;s.
"[Prateek Jain 0002, Purushottam Kar]",Non-convex Optimization for Machine Learning.
"[Naman Agarwal, Brian Bullins, Elad Hazan]",Second-Order Stochastic Optimization for Machine Learning in Linear Time.
"[Trung Le, Tu Dinh Nguyen, Vu Nguyen, Dinh Q. Phung]",Approximation Vector Machines for Large-scale Online Learning.
"[Guillaume Lemaitre, Fernando Nogueira, Christos K. Aridas]",Imbalanced-learn - A Python Toolbox to Tackle the Curse of Imbalanced Datasets in Machine Learning.
"[Jervis Pinto, Alan Fern]",Learning Partial Policies to Speedup MDP Tree Search via Reduction to I.I.D. Learning.
Edward Raff,"JSAT - Java Statistical Analysis Tool, a Library for Machine Learning."
"[Robert J. Durrant, Kee-Eung Kim, Geoffrey Holmes, Stephen Marsland, Masashi Sugiyama, Zhi-Hua Zhou]",Foreword - special issue for the journal track of the 8th Asian conference on machine learning (ACML 2016).
"[Francesco Orsini, Paolo Frasconi, Luc De Raedt]",kProbLog - an algebraic Prolog for machine learning.
"[Shifei Ding, Nan Zhang 0014, Jian Zhang 0019, Xinzheng Xu, Zhongzhi Shi]",Unsupervised extreme learning machine with representational features.
"[Meng Li, Jiajun Wei, Xi Zheng, Matthew L. Bolton]",A Formal Machine-Learning Approach to Generating Human-Machine Interfaces From Task Models.
"[Nuri Denizcan Vanli, Muhammed O. Sayin, Ibrahim Delibalta, Suleyman Serdar Kozat]",Sequential Nonlinear Learning for Distributed Multiagent Systems via Extreme Learning Machines.
"[Daniele Di Mitri, Maren Scheffel, Hendrik Drachsler, Dirk Börner, Stefaan Ternier, Marcus Specht]",Learning pulse - a machine learning approach for predicting performance in self-regulated learning using multimodal data.
"[Garrett Sargent, Adam Cassedy, Haotian Zhang, Theus H. Aspiras, Alyssa Morgan, Emma Romstadt, Adam Van Camp, Victoria Dicillo, Arlen D&apos;Arcy, Vijayan K. Asari]",Brain machine interface for useful human interaction via extreme learning machine and state machine design.
"[Min-Ling Zhang, Yung-Kyun Noh]","Proceedings of The 9th Asian Conference on Machine Learning, ACML 2017, Seoul, Korea, November 15-17, 2017."
"[Doina Precup, Yee Whye Teh]","Proceedings of the 34th International Conference on Machine Learning, ICML 2017, Sydney, NSW, Australia, 6-11 August 2017"
