authors,title
"[Min Yuan, Hui Sheng]",Research on the fusion method of spatial data and multimedia information of multimedia sensor networks in cloud computing environment.
Rémi Bois,Hypergraphes multimédias dirigés navigables - construction et exploitation. (Navigable Multimedia Hyoergraphs - Construction and Exploitation).
Vedran Vukotic,Deep neural architectures for automatic representation learning from multimedia multimodal data. (Architectures neuronales profondes pour l&apos;apprentissage de représentations multimodales de données multimédias).
Susanne Boll,Multimedia at CHI - Telepresence at Work for Remote Conference Participation.
"[Silvery Fu, Jiangchuan Liu, Wenwu Zhu 0001]",Multimedia Content Delivery with Network Function Virtualization - The Energy Perspective.
"[William I. Grosky, Terry Ruas]",The Continuing Reinvention of Content-Based Retrieval - Multimedia Is Not Dead.
Alan Hanjalic,Multimedia Research - What Is the Right Approach?
"[Ryota Hinami, Shin&apos;ichi Satoh]",Audience Behavior Mining - Integrating TV Ratings with Multimedia Content.
"[Qun Jin, Yong Xiang, Guozi Sun, Yao Liu, Chin-Chen Chang 0001]",Cybersecurity for Cyber-Enabled Multimedia Applications.
"[Martha Larson, Mohammad Soleymani, Guillaume Gravier, Bogdan Ionescu, Gareth J. F. Jones]",The Benchmarking Initiative for Multimedia Evaluation - MediaEval 2016.
"[Yan Li, Young-Sik Jeong, Byeong-Seok Shin, Jong Hyuk Park]",Crowdsensing Multimedia Data - Security and Privacy Issues.
"[Huining Li, Kun Wang 0005, Xiulong Liu, Yanfei Sun, Song Guo]",A Selective Privacy-Preserving Approach for Multimedia Data.
"[Cynthia C. S. Liem, Emilia Gómez, George Tzanetakis]","Multimedia Technologies for Enriched Music Performance, Production, and Consumption."
Yong Rui,Changes on the Horizon for the Multimedia Community.
"[Shervin Shirmohammadi, Chengcui Zhang]",The Latest Multimedia Research from ISM 2016.
"[Xiaoqing Zhu, Harilaos Koumaras, Mea Wang, David Hausheer]",Network Function Virtualization and Software-Defined Networking - Advancing Multimedia Distribution.
"[Xiaoqing Zhu, Harilaos Koumaras, Mea Wang, David Hausheer]","The Future of Multimedia Distribution - An Interview with Baochun Li, Diego R. Lopez, and Christian Timmerer."
"[Lianli Gao, Jingkuan Song, Xingyi Liu, Junming Shao, Jiajun Liu, Jie Shao]",Learning in high-dimensional multimedia data - the state of the art.
"[Rafael L. Gomes, Luiz Fernando Bittencourt, Edmundo Roberto Mauro Madeira, Eduardo Cerqueira, Mario Gerla]",Management of virtual network resources for multimedia applications.
"[Azin Semsar, Ali Asghar Nazari Shirehjini]",Multimedia-supported virtual experiment for online user-system trust studies.
"[Xiaofeng Zhu, Zhi Jin, Rongrong Ji]",Learning high-dimensional multimedia data.
"[Tamal Adhikary, Amit Kumar Das, Md. Abdur Razzaque, Majed A. AlRubaian, Mohammad Mehedi Hassan, Atif Alamri]",Quality of service aware cloud resource provisioning for social multimedia services and applications.
"[Zeyad Q. H. Al-Zaydi, David L. Ndzi, Latifah Kamarudin, Ammar Zakaria, Ali Yeon Md Shakaff]",A robust multimedia surveillance system for people counting.
"[Masoom Alam, Saif Ur Rehman Malik, Qaisar Javed, Abid Khan, Shamaila Bisma Khan, Adeel Anjum, Nadeem Javed, Adnan Akhunzada, Muhammad Khurram Khan]",Formal modeling and verification of security controls for multimedia systems in the cloud.
"[Shadi Aljawarneh, Muneer O. Bani Yassein, We&apos;am Adel Talafha]",A resource-efficient encryption algorithm for multimedia big data.
"[Awny Alnusair, Chen Zhong, Majdi Rawashdeh, M. Shamim Hossain, Atif Alamri]",Context-aware multimodal recommendations of multimedia data in cyber situational awareness.
"[Kyeong-Ryeol Bae, Byungin Moon]",An accurate and cost-effective stereo matching algorithm and processor for real-time embedded multimedia systems.
"[Kyoungsoo Bok, Jaemin Hwang, Jongtae Lim, Yeonwoo Kim, Jaesoo Yoo]",An efficient MapReduce scheduling scheme for processing large multimedia data.
"[Mateusz Budnik, Efrain-Leonardo Gutierrez-Gomez, Bahjat Safadi, Denis Pellerin, Georges Quénot]",Learned features versus engineered features for multimedia indexing.
"[Augusto Celentano, Emmanuel Dubois 0001]",A layered structure for a design space dedicated to rich interactive multimedia content.
Guang-Ho Cha,A new indexing method for complex similarity queries in immersive multimedia systems.
"[Hyun-Jong Cha, Jin-Mook Kim, Jeong-Kyung Moon]",A study on mobile ad-hoc network for reliable multimedia streaming services.
