authors,title
"[Stefan Bauer, Edward W. N. Bernroider, Katharina Chudzikowski]",Prevention is better than cure! Designing information security awareness programs to overcome users&apos; non-compliance with information security policies in banks.
"[Nik Thompson, Tanya J. McGill, Xuequn Wang]",&quot;Security begins at home&quot; - Determinants of home computer and mobile device security behavior.
"[Cuiping Shao, Huiyun Li, Jianbin Zhou]",Fast and automatic security test on cryptographic ICs against fault injection attacks based on design for security test.
Erastus Karanja,The role of the chief information security officer in the management of IT security.
"[Yi Liu 0012, Hongqi Zhang, Jiang Liu 0012, Yingjie Yang]",A New Approach for Delivering Customized Security Everywhere - Security Service Chain.
"[Cormac Herley, Paul C. van Oorschot]","SoK - Science, Security and the Elusive Goal of Security as a Scientific Pursuit."
"[Z. Cliffe Schreuders, Thomas Shaw, Mohammad Shan-A.-Khuda, Gajendra Ravichandran, Jason Keighley, Mihai Ordean]",Security Scenario Generator (SecGen) - A Framework for Generating Randomly Vulnerable Rich-scenario VMs for Learning Computer Security and Hosting CTF Events.
"[Abhik Roychoudhury, Yang Liu 0003]","A Systems Approach to Cyber Security - Proceedings of the 2nd Singapore Cyber-Security R&amp;D Conference (SG-CRC 2017), Singapore, February 21-22, 2017"
"[Engin Kirda, Thomas Ristenpart]","26th USENIX Security Symposium, USENIX Security 2017, Vancouver, BC, Canada, August 16-18, 2017."
Avinash Sudhodanan,Black-Box Security Testing of Browser-Based Security Protocols.
Kevin Müller,Security in Embedded Avionic Systems using the Concept of Multiple Independent Levels of Security.
Thierry Jean Ruch,"Consumerization of IT - studies to explore the phenomenon and implications for IT management, information security, and organizational security."
Julian Vetter,Strengthening system security on the ARMv7 processor architecture with hypervisor-based security mechanisms.
Wilson Goudalo,"Vers une ingénierie avancée de la sécurité des systèmes d&apos;information d&apos;entreprise - une approche conjointe de la sécurité, de l&apos;utilisabilité et de la résilience dans les systèmes sociotechniques. (Towards advanced enterprise information system security engineering - a joint methodology to security, usability and resilience in sociotechnical systems)."
"[Bruce M. McMillin, Thomas P. Roth]",Cyber-Physical Security and Privacy in the Electric Smart Grid
"[Stephen Khou, Logan O. Mailloux, John M. Pecarina]",System-Agnostic Security Domains for Understanding and Prioritizing Systems Security Engineering Efforts.
"[Jong-Hyouk Lee, Hyoungshick Kim]",Security and Privacy Challenges in the Internet of Things [Security and Privacy Matters].
"[Duy Dang-Pham, Siddhi Pittayachawan, Vince Bruno]",Why employees share information security advice? Exploring the contributing factors and structural patterns of security advice sharing in the workplace.
"[Yosef Ashibani, Qusay H. Mahmoud]","Cyber physical systems security - Analysis, challenges and solutions."
"[Salvatore Aurigemma, Thomas Mattson]",Privilege or procedure - Evaluating the effect of employee status on intent to comply with socially interactive information security threats and controls.
"[Christopher W. Badenhop, Scott R. Graham, Benjamin W. P. Ramsey, Barry E. Mullins, Logan O. Mailloux]",The Z-Wave routing protocol and its security implications.
"[Maria Bartnes, Nils Brede Moe]",Challenges in IT security preparedness exercises - A case study.
"[Blake D. Bryant, Hossein Saiedian]",A novel kill-chain framework for remote security log analysis with SIEM software.
"[Duy Dang-Pham, Siddhi Pittayachawan, Vince Bruno]",Applications of social network analysis in behavioural information security research - Concepts and empirical analysis.
"[Duy Dang-Pham, Siddhi Pittayachawan, Vince Bruno]",Investigation into the formation of information security influence - Network analysis of an emerging organisation.
"[JinYoung Han, Yoo Jung Kim, Hyungjin Kim]",An integrative model of information security policy compliance with psychological contract - Examining a bilateral perspective.
"[Dominik Herrmann, Hannes Federrath]",Editorial - 30th IFIP International Information Security Conference (IFIP SEC 2015).
"[Xinyi Huang, Joseph K. Liu, Javier López]",Editorial - Special issue on security data science and cyber threat management.
"[Aleksandar Hudic, Paul Smith, Edgar R. Weippl]",Security assurance assessment methodology for hybrid clouds.
"[Fredrik Karlsson, Karin Hedström, Göran Goldkuhl]",Practice-based discourse analysis of information security policies.
"[Duncan Ki-Aries, Shamal Faily]",Persona-centred information security awareness.
"[Weixuan Mao, Zhongmin Cai, Don Towsley, Qian Feng, Xiaohong Guan]",Security importance assessment for system objects and malware detection.
"[Mujahid Mohsin, Zahid Anwar, Farhat Zaman, Ehab Al-Shaer]",IoTChecker - A data-driven framework for security analytics of Internet of Things configurations.
"[Sajid Nazir, Shushma Patel, Dilip Patel]",Assessing and augmenting SCADA cyber security - A survey of techniques.
"[Emma Osborn, Andrew Simpson]",On small-scale IT users&apos; system architectures and cyber security - A UK case study.
"[Eun Hee Park, Jongwoo (Jonathan) Kim, Young Soon Park]",The role of information security learning and individual factors in disclosing patients&apos; health information.
"[Kathryn Parsons, Dragana Calic, Malcolm Robert Pattinson, Marcus A. Butavicius, Agata McCormac, Tara Zwaans]",The Human Aspects of Information Security Questionnaire (HAIS-Q) - Two further validation studies.
"[Jose Fran. Ruiz, Marcos Arjona, Antonio Maña, Carsten Rudolph]",Security knowledge representation artifacts for creating secure IT systems.
"[Vesna S. Ruzicic, Zivadin M. Micic]",Creating a strategic national knowledge architecture - A comparative analysis of knowledge source innovation in the ICS subfields of multimedia and IT security.
"[Debanjan Sadhya, Sanjay Kumar Singh]",Providing robust security measures to Bloom filter based biometric template protection schemes.
"[Andrey Sapegin, David Jaeger, Feng Cheng 0002, Christoph Meinel]",Towards a system for complex analysis of security events in large-scale networks.
"[Giada Sciarretta, Roberto Carbone, Silvio Ranise, Alessandro Armando]",Anatomy of the Facebook solution for mobile single sign-on - Security assessment and improvements.
"[Adéle da Veiga, Nico Martins]",Defining and identifying dominant information security cultures and subcultures.
"[Xiaolu Zhang, Ibrahim M. Baggili, Frank Breitinger]","Breaking into the vault - Privacy, security and forensic analysis of Android vault applications."
Betsy Rohaly Smoot,National Security Agency releases Army Security Agency histories covering 1945-1963.
"[Shasi Pokharel, Kim-Kwang Raymond Choo, Jixue Liu]",Mobile cloud security - An adversary model for lightweight browser security.
"[Puzant Balozian, Dorothy E. Leidner]",Review of IS Security Policy Compliance - Toward the Building Blocks of an IS Security Theory.
"[Stefan Bauer, Edward W. N. Bernroider]",From Information Security Awareness to Reasoned Compliant Action - Analyzing Information Security Policy Compliance in a Large Banking Organization.
"[Neila Rjaibi, Latifa Ben Arfa Rabai]",Maximizing Security Management Performance and Decisions with the MFC Cyber Security Model - e- learning case study.
"[Lin DeShu, Feng Ding]",Research on transmission of technology of downward information security for wellbore trajectory control.
"[Jay Aikat, Aditya Akella, Jeffrey S. Chase, Ari Juels, Michael K. Reiter, Thomas Ristenpart, Vyas Sekar, Michael M. Swift]",Rethinking Security in the Era of Cloud Computing.
"[Archer L. Batcheller, Summer Craze Fowler, Robert K. Cunningham, Dinara Doyle, Trent Jaeger, Ulf Lindqvist]",Building on the Success of Building Security In.
Terry Benzel,Selected Papers from the 2016 IEEE Symposium on Security and Privacy.
"[Bruce Berg, Tyler Kaczmarek, Alfred Kobsa, Gene Tsudik]",An Exploration of the Effects of Sensory Stimuli on the Completion of Security Tasks.
"[Marina Blanton, Fattaneh Bayatbabolghani]",Improving the Security and Efficiency of Private Genomic Computation Using Server Aid.
"[Tatiana Bradley, Xuhua Ding, Gene Tsudik]",Genomic Security (Lest We Forget).
"[Marc Dacier, Hartmut König, Radoslaw Cwalinski, Frank Kargl, Sven Dietrich]",Security Challenges and Opportunities of Software-Defined Networking.
"[Earlence Fernandes, Amir Rahmati, Kevin Eykholt, Atul Prakash]",Internet of Things Security Research - A Rehash of Old Ideas or New Intellectual Challenges?
"[Earlence Fernandes, Amir Rahmati, Jaeyeon Jung, Atul Prakash]",Security Implications of Permission Models in Smart-Home Application Frameworks.
"[Lucas Silva Figueiredo, David Molnar, Margus Veanes, Benjamin Livshits]","Prepose - Privacy, Security, and Reliability for Gesture-Based Programming."
Chetan Gupta,The Market&apos;s Law of Privacy - Case Studies in Privacy and Security Adoption.
"[Jean-Pierre Hubaux, Stefan Katzenbeisser 0001, Bradley Malin]",Genomic Data Privacy and Security - Where We Stand and Where We Are Heading.
"[Ezhil Kalaimannan, Jatinder N. D. Gupta]",The Security Development Lifecycle in the Context of Accreditation Policies and Standards.
"[Manjur S. Kolhar, Mosleh M. Abu-Alhaj, Saied M. Abd El-atty]",Cloud Data Auditing Techniques with a Focus on Privacy and Security.
"[Oksana Kulyk, Stephan Neumann, Jurlind Budurushi, Melanie Volkamer]",Nothing Comes for Free - How Much Usability Can You Sacrifice for Security?
"[Pawel Lubomski, Henryk Krawczyk]",Practical Evaluation of Internet Systems&apos; Security Mechanisms.
"[Tara Matthews, Kathleen O&apos;Leary, Anna Turner, Manya Sleeper, Jill Palzkill Woelfer, Martin Shelton, Cori Manthorne, Elizabeth F. Churchill, Sunny Consolvo]",Security and Privacy Experiences and Practices of Survivors of Intimate Partner Abuse.
"[Robert W. Reeder, Iulia Ion, Sunny Consolvo]",152 Simple Steps to Stay Safe Online - Security Advice for Non-Tech-Savvy Users.
Ahmad-Reza Sadeghi,Security and Privacy More Crucial than Ever.
"[Ahmad-Reza Sadeghi, Ghada Dessouky]","Security &amp; Privacy Week Interviews, Part 3."
Bruce Schneier,IoT Security - What&apos;s Plan B?
"[Patrick Traynor, Kevin R. B. Butler, Jasmine Bowers, Bradley Reaves]",FinTechSec - Addressing the Security Challenges of Digital Financial Services.
"[Nuttapong Attrapadung, Goichiro Hanaoka, Shota Yamada 0001]",New Security Proof for the Boneh-Boyen IBE - Tight Reduction in Unbounded Multi-Challenge Security.
